"state","slug","code","nickname","website","admission_date","admission_number","capital_city","capital_url","population","population_rank","constitution_url","state_flag_url","state_seal_url","map_image_url","landscape_background_url","skyline_background_url","twitter_url","facebook_url"
"Ohio","ohio","OH","Buckeye State","https://ohio.gov","1803-03-01",17,"Columbus","http://ci.columbus.oh.us",11570808,7,"http://www.legislature.state.oh.us/constitution.cfm","https://cdn.civil.services/us-states/flags/ohio-large.png","https://cdn.civil.services/us-states/seals/ohio-large.png","https://cdn.civil.services/us-states/maps/ohio-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/ohio.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/ohio.jpg","https://twitter.com/ohgov",
"Oklahoma","oklahoma","OK","Sooner State","https://www.ok.gov","1907-11-16",46,"Oklahoma City","http://www.okc.gov",3850568,28,"http://oklegal.onenet.net/okcon","https://cdn.civil.services/us-states/flags/oklahoma-large.png","https://cdn.civil.services/us-states/seals/oklahoma-large.png","https://cdn.civil.services/us-states/maps/oklahoma-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/oklahoma.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/oklahoma.jpg","https://twitter.com/okgov","https://www.facebook.com/okgov"
"Oregon","oregon","OR","Beaver State","http://www.oregon.gov","1859-02-14",33,"Salem","http://www.cityofsalem.net/Pages/default.aspx",3930065,27,"http://bluebook.state.or.us/state/constitution/constitution.htm","https://cdn.civil.services/us-states/flags/oregon-large.png","https://cdn.civil.services/us-states/seals/oregon-large.png","https://cdn.civil.services/us-states/maps/oregon-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/oregon.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/oregon.jpg",,
"Pennsylvania","pennsylvania","PA","Keystone State","http://www.pa.gov","1787-12-12",2,"Harrisburg","http://harrisburgpa.gov",12773801,6,"http://sites.state.pa.us/PA_Constitution.html","https://cdn.civil.services/us-states/flags/pennsylvania-large.png","https://cdn.civil.services/us-states/seals/pennsylvania-large.png","https://cdn.civil.services/us-states/maps/pennsylvania-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/pennsylvania.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/pennsylvania.jpg","https://www.facebook.com/visitPA","https://twitter.com/visitPA"
"Rhode Island","rhode-island","RI","The Ocean State","https://www.ri.gov","1790-05-29",13,"Providence","http://www.providenceri.com",1051511,43,"http://webserver.rilin.state.ri.us/RiConstitution","https://cdn.civil.services/us-states/flags/rhode-island-large.png","https://cdn.civil.services/us-states/seals/rhode-island-large.png","https://cdn.civil.services/us-states/maps/rhode-island-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/rhode-island.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/rhode-island.jpg","https://twitter.com/rigov","https://www.facebook.com/RIgov-Rhode-Island-Government-Online-24056655991"
"South Carolina","south-carolina","SC","Palmetto State","http://www.sc.gov","1788-05-23",8,"Columbia","http://www.columbiasc.net",4774839,24,"http://www.scstatehouse.gov/scconstitution/scconst.php","https://cdn.civil.services/us-states/flags/south-carolina-large.png","https://cdn.civil.services/us-states/seals/south-carolina-large.png","https://cdn.civil.services/us-states/maps/south-carolina-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/south-carolina.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/south-carolina.jpg","https://twitter.com/scgov","http://www.facebook.com/pages/SCgov/12752057990"
"South Dakota","south-dakota","SD","Mount Rushmore State","http://sd.gov","1889-11-02",40,"Pierre","http://ci.pierre.sd.us",844877,46,"http://legis.sd.gov/statutes/Constitution","https://cdn.civil.services/us-states/flags/south-dakota-large.png","https://cdn.civil.services/us-states/seals/south-dakota-large.png","https://cdn.civil.services/us-states/maps/south-dakota-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/south-dakota.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/south-dakota.jpg",,
"Tennessee","tennessee","TN","Volunteer State","https://www.tn.gov","1796-06-01",16,"Nashville","http://www.nashville.gov",6495978,17,"http://www.capitol.tn.gov/about/docs/TN-Constitution.pdf","https://cdn.civil.services/us-states/flags/tennessee-large.png","https://cdn.civil.services/us-states/seals/tennessee-large.png","https://cdn.civil.services/us-states/maps/tennessee-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/tennessee.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/tennessee.jpg","https://twitter.com/TNVacation","https://www.facebook.com/tnvacation"
"Texas","texas","TX","Lone Star State","https://www.texas.gov","1845-12-29",28,"Austin","http://www.austintexas.gov",26448193,2,"http://www.constitution.legis.state.tx.us","https://cdn.civil.services/us-states/flags/texas-large.png","https://cdn.civil.services/us-states/seals/texas-large.png","https://cdn.civil.services/us-states/maps/texas-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/texas.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/texas.jpg","https://twitter.com/texasgov","http://www.facebook.com/Texas.gov"
"Utah","utah","UT","The Beehive State","https://utah.gov","1896-01-04",45,"Salt Lake City","http://www.slcgov.com",2900872,33,"http://le.utah.gov/UtahCode/chapter.jsp?code=Constitution","https://cdn.civil.services/us-states/flags/utah-large.png","https://cdn.civil.services/us-states/seals/utah-large.png","https://cdn.civil.services/us-states/maps/utah-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/utah.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/utah.jpg","https://twitter.com/UtahGov","https://www.facebook.com/utahgov"
"Vermont","vermont","VT","Green Mountain State","http://vermont.gov","1791-03-04",14,"Montpelier","http://www.montpelier-vt.org",626630,49,"http://www.leg.state.vt.us/statutes/const2.htm","https://cdn.civil.services/us-states/flags/vermont-large.png","https://cdn.civil.services/us-states/seals/vermont-large.png","https://cdn.civil.services/us-states/maps/vermont-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/vermont.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/vermont.jpg","https://twitter.com/vermontgov","https://www.facebook.com/MyVermont"
"Virginia","virginia","VA","Old Dominion State","https://www.virginia.gov","1788-06-25",10,"Richmond","http://www.richmondgov.com",8260405,12,"http://hodcap.state.va.us/publications/Constitution-01-13.pdf","https://cdn.civil.services/us-states/flags/virginia-large.png","https://cdn.civil.services/us-states/seals/virginia-large.png","https://cdn.civil.services/us-states/maps/virginia-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/virginia.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/virginia.jpg",,
"Washington","washington","WA","The Evergreen State","http://www.wa.gov","1889-11-11",42,"Olympia","http://www.ci.olympia.wa.us",6971406,13,"http://www.leg.wa.gov/lawsandagencyrules/pages/constitution.aspx","https://cdn.civil.services/us-states/flags/washington-large.png","https://cdn.civil.services/us-states/seals/washington-large.png","https://cdn.civil.services/us-states/maps/washington-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/washington.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/washington.jpg","https://twitter.com/wagov",""
"West Virginia","west-virginia","WV","Mountain State","http://www.wv.gov","1863-06-20",35,"Charleston","http://www.cityofcharleston.org",1854304,38,"http://www.legis.state.wv.us/WVCODE/WV_CON.cfm","https://cdn.civil.services/us-states/flags/west-virginia-large.png","https://cdn.civil.services/us-states/seals/west-virginia-large.png","https://cdn.civil.services/us-states/maps/west-virginia-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/west-virginia.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/west-virginia.jpg","https://twitter.com/wvgov","https://www.facebook.com/wvgov"
"Wisconsin","wisconsin","WI","Badger State","https://www.wisconsin.gov","1848-05-29",30,"Madison","http://www.ci.madison.wi.us",5742713,20,"http://www.legis.state.wi.us/rsb/2wiscon.html","https://cdn.civil.services/us-states/flags/wisconsin-large.png","https://cdn.civil.services/us-states/seals/wisconsin-large.png","https://cdn.civil.services/us-states/maps/wisconsin-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/wisconsin.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/wisconsin.jpg",,
"Wyoming","wyoming","WY","Equality State","http://www.wyo.gov","1890-07-10",44,"Cheyenne","http://www.cheyennecity.org",582658,50,"http://legisweb.state.wy.us/statutes/constitution.aspx?file=titles/97Title97.htm","https://cdn.civil.services/us-states/flags/wyoming-large.png","https://cdn.civil.services/us-states/seals/wyoming-large.png","https://cdn.civil.services/us-states/maps/wyoming-large.png","https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/wyoming.jpg","https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/wyoming.jpg",,
